state_name,county_name,zip_code,share_of_homes_in_negative_equity
Georgia,Fulton,30213,0.07181153446435928
Maryland,Wicomico,21865,0.07169811427593231
Louisiana,Tangipahoa,70401,0.07161078602075577
Ohio,Cuyahoga,44115,0.07159904390573502
Iowa,Union,50830,0.07159353047609329
Maryland,Baltimore City,21229,0.0715448260307312
Rhode Island,Providence,02910,0.07148681581020355
New Jersey,Burlington,08065,0.07145434617996216
New York,Rockland,10931,0.0714285746216774
Illinois,Grundy,60479,0.0714285746216774
Maryland,Prince Georges,20737,0.07137295603752136
Virginia,Norfolk City,23503,0.0713164359331131
California,Fresno,93630,0.07128485292196274
Connecticut,Hartford,06095,0.07123008370399475
New Jersey,Mercer,08610,0.07107663154602051
Arizona,Pinal,85123,0.07104210555553436
Virginia,Norfolk City,23523,0.07099143415689468
Florida,Miami-Dade,33010,0.07096774131059647
Massachusetts,Worcester,01608,0.07094594836235046
Maryland,Prince Georges,20783,0.070913165807724
Iowa,Sioux,51234,0.07090464234352112
Illinois,Boone,61012,0.07087628543376923
Florida,Hillsborough,33584,0.07082415372133255
New York,Queens,11691,0.07076764851808548
Connecticut,Windham,06277,0.07074467837810516
Florida,Miami-Dade,33162,0.07063807547092438
Maryland,Prince Georges,20747,0.07061298191547394
New Jersey,Cumberland,08349,0.07046979665756226
New York,Westchester,10553,0.07009857892990112
Louisiana,Rapides,71466,0.07009346038103104
Florida,Palm Beach,33493,0.07005254179239273
Connecticut,New London,06360,0.0700303316116333
Illinois,Knox,61485,0.07000000029802322
Illinois,Cook,60029,0.06989247351884842
Michigan,Wayne,48180,0.06987351179122925
Connecticut,New London,06375,0.06968876719474792
Maryland,Caroline,21649,0.06965173780918121
Illinois,Peoria,61533,0.06959707289934158
Florida,Palm Beach,33403,0.06956762820482254
Nevada,Clark,89101,0.06956521421670914
Massachusetts,Barnstable,02601,0.06949985027313232
Michigan,Oakland,48340,0.06948148459196091
Illinois,Cook,60171,0.0694345012307167
New Jersey,Gloucester,08063,0.0693950206041336
Illinois,Randolph,62288,0.0693359375
Michigan,Macomb,48048,0.06923077255487442
New Jersey,Atlantic,08310,0.0691964253783226
Ohio,Geauga,44023,0.06918052583932877
Minnesota,Pope,56323,0.06914893537759781
New Jersey,Camden,08049,0.069121815264225
Virginia,Norfolk City,23513,0.06909766793251038
Illinois,Woodford,61771,0.06905370950698853
Delaware,New Castle,19805,0.06904835999011993
Illinois,Cook,60422,0.0690184012055397
Oklahoma,Cleveland,73173,0.06901510059833527
New York,Kings,11213,0.0689079612493515
Maryland,Queen Annes,21651,0.06882989406585693
Illinois,Cook,60615,0.06879919022321701
Illinois,Will,60484,0.06879039853811264
Ohio,Lorain,44090,0.06878022849559784
Illinois,DuPage,60106,0.06877578794956207
Iowa,Jefferson,52580,0.06866952776908875
Florida,Orange,32808,0.06853434443473816
Illinois,Crawford,62413,0.06849315017461777
Maryland,Howard,20723,0.06847116351127625
New York,Rockland,10986,0.0684647336602211
New York,Suffolk,11950,0.0684555247426033
South Carolina,Richland,29223,0.06838098913431168
Kansas,Pottawatomie,66407,0.0683760717511177
California,Fresno,93721,0.06833333522081375
Louisiana,Saint Tammany,70452,0.06824090331792831
New Jersey,Gloucester,08096,0.06822077184915543
Illinois,Cook,60169,0.06815317273139954
Florida,Hillsborough,33619,0.06810108572244644
Illinois,Sangamon,62661,0.06808510422706604
Illinois,Whiteside,61230,0.06794055551290512
Florida,Sarasota,34234,0.06782026588916779
Illinois,Cook,60415,0.06771653890609741
Ohio,Hamilton,45211,0.0677131935954094
North Dakota,Rolette,58367,0.06761565804481506
