state_name,county_name,zip_code,pct_homes_negative_equity
Illinois,Cook,60659,7.56
Illinois,Cook,60426,7.56
Ohio,Cuyahoga,44146,7.56
Maryland,Queen Annes,21668,7.54
Iowa,Dallas,50003,7.52
Iowa,Marion,50062,7.51
Ohio,Cuyahoga,44135,7.51
North Dakota,Steele,58046,7.5
Florida,Pasco,33544,7.49
Ohio,Hamilton,45216,7.49
California,Riverside,92230,7.48
Illinois,Cook,60418,7.47
Florida,Palm Beach,33406,7.47
Iowa,Poweshiek,52222,7.47
Connecticut,New Haven,06515,7.47
Rhode Island,Providence,02895,7.46
New Jersey,Essex,07105,7.45
New York,Suffolk,11722,7.45
New Jersey,Union,07205,7.43
Ohio,Hamilton,45238,7.43
Florida,Osceola,34744,7.42
Wisconsin,Waukesha,53046,7.42
Virginia,Portsmouth City,23704,7.41
Illinois,McLean,61737,7.41
Florida,Hillsborough,33604,7.4
Virginia,Prince William,22026,7.39
Connecticut,Litchfield,06782,7.39
Connecticut,Hartford,06002,7.38
Ohio,Montgomery,45354,7.38
Florida,Broward,33309,7.37
Illinois,Randolph,62241,7.37
Connecticut,New London,06340,7.36
Illinois,Cook,60131,7.35
New Jersey,Gloucester,08028,7.33
Florida,Palm Beach,33470,7.33
Connecticut,New Haven,06708,7.32
Florida,Collier,34117,7.31
Massachusetts,Hampden,01104,7.31
Connecticut,New Haven,06450,7.3
Florida,Miami-Dade,33161,7.3
Iowa,Scott,52728,7.3
Maryland,Caroline,21639,7.3
Illinois,Tazewell,61733,7.3
Louisiana,East Baton Rouge,70816,7.3
Iowa,Clay,51366,7.29
Florida,Broward,33351,7.28
Virginia,Orange,22433,7.27
Florida,Lee,33976,7.27
Ohio,Cuyahoga,44120,7.26
Maryland,Baltimore,21207,7.24
Maryland,Frederick,21702,7.24
Maryland,Harford,21160,7.23
Maryland,Caroline,21632,7.23
District of Columbia,District of Columbia,20032,7.22
Iowa,Benton,52249,7.2
Iowa,Boone,50223,7.2
Rhode Island,Providence,02838,7.2
Nebraska,Lancaster,68430,7.2
New York,Ulster,12411,7.19
Georgia,Fulton,30213,7.18
Maryland,Wicomico,21865,7.17
Louisiana,Tangipahoa,70401,7.16
