"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-09-30,3142,"Susquehanna County","PA",,1007,129200,0.0109546165884194,0.0352564102564103,0.0757701915070774,0.0300906960382632,0.0281298827927188,"2019-09","2019-Q3",129200,0,"2019-09"
2019-09-30,2713,"Habersham County","GA","Cornelia",1008,158100,0.0108695652173913,0.0367213114754098,0.114950634696756,0.0694751189711571,0.0205498329640039,"2019-09","2019-Q3",158100,0,"2019-09"
2019-09-30,1497,"Wilson County","TX","San Antonio-New Braunfels",1009,295900,0.0317294281729428,0.0624775583482944,0.175138999205719,0.0825759574050613,0.0510794079856669,"2019-09","2019-Q3",295900,0,"2019-09"
2019-09-30,1954,"Orleans County","NY","Rochester",1010,106600,0.00471253534401508,0.0200956937799043,0.0554455445544555,0.0480594688185583,0.0246017486260082,"2019-09","2019-Q3",106600,0,"2019-09"
2019-09-30,1926,"Mecosta County","MI","Big Rapids",1011,112700,0.00985663082437276,0.032051282051282,0.155897435897436,0.0704093883513321,0.0376207447333377,"2019-09","2019-Q3",112700,0,"2019-09"
2019-09-30,902,"Butler County","MO","Poplar Bluff",1012,128700,0.00704225352112676,0.0198098256735341,0.106620808254514,0.0523899152599421,0.03561212368778,"2019-09","2019-Q3",128700,0,"2019-09"
2019-09-30,2811,"Muscatine County","IA","Muscatine",1013,146000,0.00550964187327824,0.0202655485674354,0.028169014084507,0.0387932456555555,0.0215204960399953,"2019-09","2019-Q3",146000,0,"2019-09"
2019-09-30,1025,"Fulton County","OH","Toledo",1014,142000,0.00852272727272727,0.0319767441860465,0.0581222056631893,0.0465624486027418,0.0265185888156085,"2019-09","2019-Q3",142000,0,"2019-09"
2019-09-30,801,"Wayne County","WV","Huntington-Ashland",1015,81600,0,0.003690036900369,-0.0156815440289505,0.0296750946896653,0.0135847387757306,"2019-02","2019-Q1",85800,-0.048951048951049,"2018-04"
2019-09-30,1731,"Gratiot County","MI","Alma",1016,95000,0.00742311770943796,0.0543840177580466,0.0944700460829493,0.0755631984402161,0.0680113061985812,"2019-09","2019-Q3",95000,0,"2019-09"
2019-09-30,413,"Bryan County","OK","Durant",1017,105900,0.0056980056980057,0.00284090909090909,0.0104961832061069,0.0499378048744454,0.0290888747016678,"2019-09","2019-Q3",105900,0,"2019-09"
2019-09-30,2541,"Sequoyah County","OK","Fort Smith",1018,90100,0.00111111111111111,-0.0088008800880088,0.00558035714285714,0.0508818545502268,0.0170305846075642,"2019-04","2019-Q2",91900,-0.0195865070729053,"2018-10"
2019-09-30,1798,"Jackson County","IN","Seymour",1019,137700,0.0058436815193572,0.0162361623616236,0.084251968503937,0.0563247406574749,0.0378176048300836,"2019-09","2019-Q3",137700,0,"2019-09"
2019-09-30,946,"Coffee County","GA","Douglas",1020,89100,0.00564334085778781,0.027681660899654,0.0839416058394161,0.0479431360491953,0.019156835442145,"2019-09","2019-Q3",89100,0,"2019-09"
2019-09-30,1336,"Preble County","OH",,1021,123300,0.00900163666121113,0.0266444629475437,0.0556506849315068,0.0600849997811208,0.0140907682004643,"2010-10","2010-Q4",139300,-0.114860014357502,"2010-04"
2019-09-30,2762,"Kandiyohi County","MN","Willmar",1022,173000,0.00639906922629436,0.0242747187685021,0.101910828025478,0.0489959201766204,0.0261809886038222,"2019-09","2019-Q3",173000,0,"2019-09"
2019-09-30,1316,"Pettis County","MO","Sedalia",1023,96900,-0.0132382892057026,0.0125391849529781,-0.00717213114754098,0.0582790124598256,,"2018-11","2018-Q4",100600,-0.036779324055666,"2018-09"
